,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
134,John Donald,es ESP,DF,Elche,22-074,2000,3,2,150,1.7,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00
135,Domingos Duarte,pt POR,DF,Getafe,27-247,1995,13,13,"1,125",12.5,0,2,0,0,0,5,0,0.00,0.16,0.16,0.00,0.16
136,Pablo Durán,es ESP,"MF,DF",Celta Vigo,21-291,2001,3,0,29,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
137,Hugo Duro,es ESP,FW,Valencia,23-002,1999,10,4,391,4.3,1,0,1,0,0,0,0,0.23,0.00,0.23,0.23,0.23
138,Íñigo Eguaras,es ESP,MF,Almería,30-250,1992,11,6,495,5.5,1,1,1,0,0,2,0,0.18,0.18,0.36,0.18,0.36
139,Aritz Elustondo,es ESP,DF,Real Sociedad,28-229,1994,11,7,618,6.9,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00
140,Rodrigo Ely,br BRA,DF,Almería,29-009,1993,14,14,"1,233",13.7,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00
141,Adri Embarba,es ESP,"FW,MF",Almería,30-189,1992,9,5,423,4.7,1,3,1,0,0,4,1,0.21,0.64,0.85,0.21,0.85
142,Adri Embarba,es ESP,FW,Espanyol,30-189,1992,1,0,35,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
143,Youssef En-Nesyri,ma MAR,"FW,MF",Sevilla,25-164,1997,10,2,362,4.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
144,Sergio Escudero,es ESP,DF,Valladolid,33-071,1989,9,9,709,7.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
145,Alfonso Espino,uy URU,DF,Cádiz,30-311,1992,14,13,"1,142",12.7,0,3,0,0,0,3,0,0.00,0.24,0.24,0.00,0.24
146,Bernardo Espinosa,co COL,DF,Girona,33-124,1989,8,6,499,5.5,0,1,0,0,0,2,0,0.00,0.18,0.18,0.00,0.18
147,Edu Expósito,es ESP,MF,Espanyol,26-103,1996,13,10,772,8.6,2,2,2,0,0,0,0,0.23,0.23,0.47,0.23,0.47
148,Nicolás Ezequiel Fernández,ar ARG,"MF,DF",Elche,22-305,2000,8,2,294,3.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
149,Abdessamad Ezzalzouli,ma MAR,"MF,FW",Osasuna,20-330,2001,8,4,313,3.5,0,2,0,0,0,1,0,0.00,0.58,0.58,0.00,0.58
150,Radamel Falcao,co COL,"FW,MF",Rayo Vallecano,36-275,1986,12,3,404,4.5,2,0,1,1,1,2,0,0.45,0.00,0.45,0.22,0.22
151,Fali,es ESP,"DF,MF",Cádiz,29-092,1993,8,7,556,6.2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
152,Ansu Fati,es ESP,FW,Barcelona,20-012,2002,14,3,469,5.2,3,3,3,0,0,0,0,0.58,0.58,1.15,0.58,1.15
153,Zouhair Feddal,ma MAR,DF,Valladolid,33-315,1989,7,4,349,3.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
154,Nabil Fekir,fr FRA,"MF,FW",Betis,29-117,1993,8,6,426,4.7,1,1,1,0,0,4,1,0.21,0.21,0.42,0.21,0.42
155,,,,,,,,,,,,,,,,,,,,,,
