,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG
31,Levante,31,28.0,47.2,38,418,"3,420",38.0,51,34,43,8,13,109,6,1.34,0.89,2.24,1.13,2.03,61.2,52.0,36.6,88.5,1.61,0.96,2.57,1.37,2.33
32,Mallorca,33,27.9,45.3,38,418,"3,420",38.0,33,23,27,6,7,114,7,0.87,0.61,1.47,0.71,1.32,44.0,38.6,29.7,68.3,1.16,0.78,1.94,1.02,1.80
33,Osasuna,29,27.7,46.9,38,418,"3,420",38.0,37,23,31,6,8,84,2,0.97,0.61,1.58,0.82,1.42,40.3,34.9,25.6,60.5,1.06,0.67,1.73,0.92,1.59
34,Rayo Vallecano,28,27.5,49.9,38,418,"3,420",38.0,38,28,34,4,4,101,3,1.00,0.74,1.74,0.89,1.63,50.2,47.0,36.6,83.7,1.32,0.96,2.29,1.24,2.20
35,Real Madrid,31,27.7,59.9,38,418,"3,420",38.0,80,59,72,8,12,76,0,2.11,1.55,3.66,1.89,3.45,78.9,70.5,57.3,127.7,2.08,1.51,3.58,1.85,3.36
36,Real Sociedad,32,25.7,54.3,38,418,"3,420",38.0,40,22,31,9,10,77,4,1.05,0.58,1.63,0.82,1.39,57.9,50.1,37.9,88.1,1.52,1.00,2.52,1.32,2.32
37,Sevilla,33,28.6,59.4,38,418,"3,420",38.0,51,40,49,2,3,97,4,1.34,1.05,2.39,1.29,2.34,48.4,46.0,37.7,83.8,1.27,0.99,2.27,1.21,2.20
38,Valencia,34,24.8,43.6,38,418,"3,420",38.0,45,30,37,8,9,134,8,1.18,0.79,1.97,0.97,1.76,43.6,37.3,29.6,66.9,1.15,0.78,1.93,0.98,1.76
39,Villarreal,29,28.0,56.8,38,418,"3,420",38.0,62,51,57,5,6,81,1,1.63,1.34,2.97,1.50,2.84,67.5,63.8,54.3,118.0,1.78,1.43,3.20,1.68,3.11
40,Alavés,30,28.7,42.8,38,418,"3,420",38.0,35,21,30,5,8,96,8,0.92,0.55,1.47,0.79,1.34,42.6,36.4,27.4,63.7,1.12,0.72,1.84,0.96,1.68
41,Athletic Club,27,26.6,49.9,38,418,"3,420",38.0,43,31,39,4,5,82,3,1.13,0.82,1.95,1.03,1.84,43.1,39.2,31.3,70.5,1.13,0.82,1.96,1.03,1.86
42,Atlético Madrid,25,27.3,52.3,38,418,"3,420",38.0,65,54,60,5,7,100,0,1.71,1.42,3.13,1.58,3.00,52.8,47.2,40.6,87.8,1.39,1.07,2.46,1.24,2.31
43,Barcelona,25,26.4,65.5,38,418,"3,420",38.0,80,51,76,4,8,72,2,2.11,1.34,3.45,2.00,3.34,73.5,67.1,53.2,120.2,1.94,1.40,3.33,1.77,3.16
